rt,responses,time_elapsed,subject,prolificID,demoID,trialType,question_order,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy
9233,"{""Q0"":""ms1000253""}",9267,HierDyrqluye2n,1fkoi4zwl4,ms1000253,,,,,,,,,,,,,
4515,,13794,HierDyrqluye2n,1fkoi4zwl4,ms1000253,,,,,,,,,,,,,
,,16282,HierDyrqluye2n,1fkoi4zwl4,ms1000253,fullscreen,,,,,,,,,,,,
7964,"{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}",24256,HierDyrqluye2n,1fkoi4zwl4,ms1000253,,"[0,1,2]",,,,,,,,,,,
1970,"{""Q0"":""19""}",26239,HierDyrqluye2n,1fkoi4zwl4,ms1000253,,,,,,,,,,,,,
117751,,144002,HierDyrqluye2n,1fkoi4zwl4,ms1000253,,,,,,,,,,,,,
604,,144619,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,1,1,0,0,,
null,,144731,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
601,,145342,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_6.png,74,motor,6,2,1,0,0,,
null,,145454,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
511,,145975,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,3,1,0,0,,
null,,146086,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
405,,146501,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,4,1,0,0,,
null,,146612,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
589,,147212,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,5,1,0,0,,
null,,147323,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
458,,147791,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,6,1,0,0,,
null,,147902,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
409,,148324,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,7,1,0,0,,
null,,148434,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
627,,149071,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,8,1,0,0,,
null,,149183,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
435,,149627,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,9,1,0,0,,
null,,149738,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
361,,150110,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,10,1,0,0,,
null,,150220,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
369,,150599,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,11,1,0,0,,
null,,150711,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
641,,151363,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_6.png,74,motor,6,12,1,0,0,,
null,,151474,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
495,,151980,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,13,1,0,0,,
null,,152091,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
458,,152558,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,14,1,0,0,,
null,,152669,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
405,,153084,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,15,1,0,0,,
null,,153195,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
487,,153693,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,16,1,0,0,,
null,,153803,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
863,,154676,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,17,1,0,0,,
null,,154788,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
440,,155239,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,18,1,0,0,,
null,,155350,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
388,,155750,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,19,1,0,0,,
null,,155861,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
397,,156269,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,20,1,0,0,,
null,,156379,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
369,,156757,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,21,1,0,0,,
null,,156868,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
388,,157266,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,22,1,0,0,,
null,,157378,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
434,,157822,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,23,1,0,0,,
null,,157934,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
341,,158285,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,24,1,0,0,,
null,,158396,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
431,,158836,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,25,1,0,0,,
null,,158946,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
464,,159422,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_7.png,75,motor,7,26,0,1,0,,
192,,159624,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motorRepeat,,75,img/motor_7.png,75,motor,7,26,1,0,0,,
null,,159735,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
524,,160269,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,27,1,0,0,,
null,,160380,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
454,,160843,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_6.png,74,motor,6,28,1,0,0,,
null,,160955,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
516,,161481,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,29,1,0,0,,
null,,161592,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
355,,161958,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,30,1,0,0,,
null,,162069,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
393,,162471,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,31,1,0,0,,
null,,162583,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
340,,162932,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,32,1,0,0,,
null,,163042,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
438,,163489,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,33,1,0,0,,
null,,163600,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
427,,164038,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,34,1,0,0,,
null,,164149,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
477,,164635,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_6.png,74,motor,6,35,1,0,0,,
null,,164747,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
328,,165085,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_3.png,68,motor,3,36,0,1,0,,
206,,165301,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motorRepeat,,68,img/motor_3.png,68,motor,3,36,1,0,0,,
null,,165412,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
381,,165803,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,37,1,0,0,,
null,,165914,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
408,,166333,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,38,1,0,0,,
null,,166445,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
422,,166877,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,39,1,0,0,,
null,,166987,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
493,,167491,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,75,img/motor_7.png,75,motor,7,40,1,0,0,,
null,,167602,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
465,,168077,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,41,1,0,0,,
null,,168188,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
442,,168638,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,42,1,0,0,,
null,,168749,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
432,,169192,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,43,1,0,0,,
null,,169302,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
327,,169640,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,44,1,0,0,,
null,,169750,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
349,,170109,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,45,1,0,0,,
null,,170220,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
488,,170719,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_6.png,74,motor,6,46,0,1,0,,
205,,170934,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motorRepeat,,74,img/motor_6.png,74,motor,6,46,1,0,0,,
null,,171045,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
438,,171495,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,47,1,0,0,,
null,,171607,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
447,,172062,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,48,1,0,0,,
null,,172173,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
478,,172662,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,49,1,0,0,,
null,,172772,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
355,,173136,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,50,1,0,0,,
null,,173248,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
340,,173599,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,51,1,0,0,,
null,,173710,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
382,,174101,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,52,1,0,0,,
null,,174213,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
564,,174787,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_6.png,74,motor,6,53,1,0,0,,
null,,174898,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
388,,175297,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_4.png,70,motor,4,54,0,1,0,,
199,,175507,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motorRepeat,,70,img/motor_4.png,70,motor,4,54,1,0,0,,
null,,175617,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
467,,176094,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,55,1,0,0,,
null,,176207,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
358,,176573,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,56,1,0,0,,
null,,176684,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
437,,177132,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,57,1,0,0,,
null,,177243,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
481,,177733,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,58,1,0,0,,
null,,177844,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
507,,178363,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,59,1,0,0,,
null,,178473,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
445,,178929,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,60,1,0,0,,
null,,179040,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
432,,179482,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,61,1,0,0,,
null,,179593,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
472,,180075,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,62,1,0,0,,
null,,180186,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
470,,180664,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_6.png,74,motor,6,63,1,0,0,,
null,,180775,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
412,,181197,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,64,1,0,0,,
null,,181309,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
566,,181885,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,65,1,0,0,,
null,,181996,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
401,,182408,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,66,1,0,0,,
null,,182519,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
350,,182879,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,67,1,0,0,,
null,,182991,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
406,,183407,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,68,1,0,0,,
null,,183518,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
411,,183939,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,75,img/motor_7.png,75,motor,7,69,1,0,0,,
null,,184051,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
496,,184556,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,70,1,0,0,,
null,,184668,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
404,,185082,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,71,1,0,0,,
null,,185193,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
592,,185795,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,75,img/motor_7.png,75,motor,7,72,1,0,0,,
null,,185907,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
452,,186367,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,73,1,0,0,,
null,,186478,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
408,,186896,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,74,1,0,0,,
null,,187008,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
560,,187576,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,75,1,0,0,,
null,,187688,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
352,,188049,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,76,1,0,0,,
null,,188160,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
388,,188558,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,77,1,0,0,,
null,,188669,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
370,,189048,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,78,1,0,0,,
null,,189159,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
346,,189515,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,79,1,0,0,,
null,,189625,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
418,,190054,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_6.png,74,motor,6,80,1,0,0,,
null,,190165,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_6.png,74,motor,,,,,,,
480,,190654,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,81,1,0,0,,
null,,190766,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
350,,191127,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_1.png,65,motor,1,82,0,1,0,,
146,,191283,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motorRepeat,,65,img/motor_1.png,65,motor,1,82,1,0,0,,
null,,191393,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
502,,191905,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_7.png,75,motor,7,83,0,1,0,,
136,,192051,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motorRepeat,,75,img/motor_7.png,75,motor,7,83,1,0,0,,
null,,192162,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
460,,192635,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,84,1,0,0,,
null,,192747,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
317,,193075,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,85,1,0,0,,
null,,193186,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
445,,193642,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,86,1,0,0,,
null,,193754,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
530,,194293,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,75,img/motor_7.png,75,motor,7,87,1,0,0,,
null,,194403,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
505,,194918,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,88,1,0,0,,
null,,195028,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
499,,195540,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,72,img/motor_5.png,72,motor,5,89,1,0,0,,
null,,195651,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_5.png,72,motor,,,,,,,
505,,196167,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,65,img/motor_1.png,65,motor,1,90,1,0,0,,
null,,196277,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_1.png,65,motor,,,,,,,
377,,196668,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,91,1,0,0,,
null,,196780,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
452,,197243,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,92,1,0,0,,
null,,197355,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
443,,197808,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,75,img/motor_7.png,75,motor,7,93,1,0,0,,
null,,197920,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
575,,198506,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,94,1,0,0,,
null,,198617,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
442,,199070,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,83,img/motor_2.png,83,motor,2,95,1,0,0,,
null,,199183,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_2.png,83,motor,,,,,,,
489,,199681,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,68,img/motor_3.png,68,motor,3,96,1,0,0,,
null,,199793,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_3.png,68,motor,,,,,,,
479,,200283,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,75,img/motor_7.png,75,motor,7,97,1,0,0,,
null,,200393,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
497,,200900,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,98,1,0,0,,
null,,201012,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
401,,201424,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,99,1,0,0,,
null,,201534,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
663,,202207,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,75,img/motor_7.png,75,motor,7,100,1,0,0,,
null,,202319,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_7.png,75,motor,,,,,,,
426,,202756,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,70,img/motor_4.png,70,motor,4,101,1,0,0,,
null,,202867,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_4.png,70,motor,,,,,,,
389,,203265,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,76,img/motor_8.png,76,motor,8,102,1,0,0,,
null,,203377,HierDyrqluye2n,1fkoi4zwl4,ms1000253,iti,,null,img/motor_8.png,76,motor,,,,,,,
564,,203952,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motor,,74,img/motor_5.png,72,motor,5,103,0,1,0,,
111,,204073,HierDyrqluye2n,1fkoi4zwl4,ms1000253,motorRepeat,,72,img/motor_5.png,72,motor,5,103,1,0,0,,
